1,Ginger,3561
2,KJH,3560
3,Morsecode762,3713
4,Kuyashi,3726
5,Ossify,282043
6,Tentpoles,3545
7,Brazmonkey,61212
8,Coin,34895
9,Sheep,3605
10,Negat!ve,288222
11,Asiago,1420781
12,Rayboyp,16279
